user,mood,count,percentage
Ashanti,Happy,15858,11.294308688313262
Gabi,Happy,23499,12.610345216182713
Maribel,Happy,1496,15.635451505016723
Maribel,Energetic,3193,33.37165551839465
Ashanti,Energetic,28115,20.023930430818975
Gabi,Energetic,44082,23.655867816492886
Ashanti,Calm,15659,11.152577862927062
Maribel,Calm,1217,12.719481605351172
Gabi,Calm,25635,13.756593881307452
Maribel,Dreamy,894,9.343645484949832
Gabi,Dreamy,46800,25.11443704486791
Ashanti,Dreamy,23976,17.07607170582663
Maribel,Dark,1011,10.566471571906355
Ashanti,Dark,17977,12.803492703355246
Gabi,Dark,20913,11.222611579472703
Gabi,Melancholic,25418,13.640144461676334
Ashanti,Melancholic,38822,27.649618608758825
Maribel,Melancholic,1757,18.36329431438127
